time	S1	S2	S3	
0	10000	0	0	
0.5	1265.24	3681.34	65.11	
1	1107.61	3398.41	135.8	
1.5	1046.03	3095.41	201.28	
2	989.47	2811.65	260.3	
2.5	932.48	2549.22	312.54	
3	874.86	2303.35	360.88	
3.5	825.73	2072.13	403.24	
4	773.77	1858.58	443.47	
4.5	719.22	1664.04	478.31	
5	671.76	1485.35	509.04	
5.5	624.98	1317.98	537.11	
6	580.24	1165.26	562.18	
6.5	534.69	1026.29	583.29	
7	494.86	899.21	602.37	
7.5	452.78	784.77	619.17	
8	413.6	681.08	634.36	
8.5	377.49	588.56	646.62	
9	340.39	506.11	657.67	
9.5	308.96	430.54	666.69	
10	275.49	366.26	674.3	
